mes_ref;indice;inicio_coleta;fim_coleta;data_divulgacao
mar/15;ipca/inpc;28/02/2015;27/03/2015;08/04/2015
abr/15;ipca/inpc;28/03/2015;29/04/2015;08/05/2015
mai/15;ipca/inpc;30/04/2015;27/05/2015;10/06/2015
jun/15;ipca/inpc;28/05/2015;29/06/2015;08/07/2015
jul/15;ipca/inpc;30/06/2015;29/07/2015;07/08/2015
ago/15;ipca/inpc;30/07/2015;27/08/2015;10/09/2015
set/15;ipca/inpc;28/08/2015;28/09/2015;07/10/2015
out/15;ipca/inpc;29/09/2015;27/10/2015;06/11/2015
nov/15;ipca/inpc;28/10/2015;27/11/2015;09/12/2015
dez/15;ipca/inpc;28/11/2015;29/12/2015;08/01/2016
jan/16;ipca15;12/12/2015;14/01/2016;22/01/2016
fev/16;ipca15;15/01/2016;15/02/2016;23/02/2016
mar/16;ipca15;16/02/2016;15/03/2016;23/03/2016
abr/16;ipca15;16/03/2016;13/04/2016;20/04/2016
mai/16;ipca15;14/04/2016;13/05/2016;20/05/2016
jun/16;ipca15;14/05/2016;14/06/2016;21/06/2016
jul/16;ipca15;15/06/2016;13/07/2016;21/07/2016
ago/16;ipca15;14/07/2016;12/08/2016;24/08/2016
set/16;ipca15;13/08/2016;14/09/2016;22/09/2016
out/16;ipca15;15/09/2016;13/10/2016;21/10/2016
nov/16;ipca15;14/10/2016;14/11/2016;23/11/2016
dez/16;ipca15;15/11/2016;13/12/2016;21/12/2016
jan/16;ipca/inpc;30/12/2015;28/01/2016;05/02/2016
fev/16;ipca/inpc;29/01/2016;29/02/2016;09/03/2016
mar/16;ipca/inpc;01/03/2016;30/03/2016;08/04/2016
abr/16;ipca/inpc;31/03/2016;28/04/2016;06/05/2016
mai/16;ipca/inpc;29/04/2016;30/05/2016;08/06/2016
jun/16;ipca/inpc;31/05/2016;29/06/2016;08/07/2016
jul/16;ipca/inpc;30/06/2016;28/07/2016;10/08/2016
ago/16;ipca/inpc;29/07/2016;30/08/2016;09/09/2016
set/16;ipca/inpc;31/08/2016;28/09/2016;07/10/2016
out/16;ipca/inpc;29/09/2016;27/10/2016;09/11/2016
nov/16;ipca/inpc;28/10/2016;30/11/2016;09/12/2016
dez/16;ipca/inpc;01/12/2016;29/12/2016;11/01/2017
jan/17;ipca15;14/12/2016;12/01/2017;19/01/2017
fev/17;ipca15;13/01/2017;13/02/2017;22/02/2017
mar/17;ipca15;14/02/2017;14/03/2017;22/03/2017
abr/17;ipca15;15/03/2017;12/04/2017;20/04/2017
mai/17;ipca15;13/04/2017;15/05/2017;23/05/2017
jun/17;ipca15;16/05/2017;13/06/2017;23/06/2017
jul/17;ipca15;14/06/2017;13/07/2017;20/07/2017
ago/17;ipca15;14/07/2017;15/08/2017;23/08/2017
set/17;ipca15;16/08/2017;13/09/2017;21/09/2017
out/17;ipca15;14/09/2017;11/10/2017;20/10/2017
nov/17;ipca15;12/10/2017;13/11/2017;23/11/2017
dez/17;ipca15;14/11/2017;13/12/2017;21/12/2017
jan/17;ipca/inpc;30/12/2016;30/01/2017;08/02/2017
fev/17;ipca/inpc;31/01/2017;24/02/2017;10/03/2017
mar/17;ipca/inpc;25/02/2017;29/03/2017;07/04/2017
abr/17;ipca/inpc;30/03/2017;28/04/2017;10/05/2017
mai/17;ipca/inpc;29/04/2017;31/05/2017;09/06/2017
jun/17;ipca/inpc;01/06/2017;28/06/2017;07/07/2017
jul/17;ipca/inpc;29/06/2017;01/07/2017;09/08/2017
ago/17;ipca/inpc;01/08/2017;29/08/2017;06/09/2017
set/17;ipca/inpc;30/08/2017;27/09/2017;06/10/2017
out/17;ipca/inpc;28/09/2017;30/10/2017;10/11/2017
nov/17;ipca/inpc;31/10/2017;29/11/2017;08/12/2017
dez/17;ipca/inpc;30/11/2017;28/12/2017;10/01/2018
jan/18;ipca15;14/12/2017;15/01/2018;23/01/2018
fev/18;ipca15;16/01/2018;15/02/2018;23/02/2018
mar/18;ipca15;16/02/2018;15/03/2018;23/03/2018
abr/18;ipca15;16/03/2018;13/04/2018;20/04/2018
mai/18;ipca15;14/04/2018;15/05/2018;23/05/2018
jun/18;ipca15;16/05/2018;13/06/2018;21/06/2018
jul/18;ipca15;14/06/2018;12/07/2018;20/07/2018
